handedness,avg
Right Handed,0.237
Right Handed,0
Right Handed,0.211
Right Handed,0
Right Handed,0.224
Right Handed,0.235
Right Handed,0.233
Switch Hitter,0.231
Right Handed,0.26
Right Handed,0
Right Handed,0.236
Switch Hitter,0.245
Left Handed,0.248
Left Handed,0.24
Left Handed,0.254
Right Handed,0.282
Right Handed,0.243
Right Handed,0.258
Right Handed,0.261
Left Handed,0.279
Left Handed,0.264
Left Handed,0.265
Right Handed,0
Left Handed,0.268
Left Handed,0
Left Handed,0.256
Right Handed,0.25
Right Handed,0.27
Left Handed,0.303
Right Handed,0.213
Right Handed,0.214
Right Handed,0.263
Right Handed,0.138
Right Handed,0.257
Right Handed,0.25
Left Handed,0
Right Handed,0.224
Right Handed,0.221
Left Handed,0.263
Right Handed,0.279
Right Handed,0.25
Left Handed,0.22
Switch Hitter,0
Right Handed,0.235
Left Handed,0.273
Right Handed,0
Right Handed,0.16
Right Handed,0
Right Handed,0
Switch Hitter,0.257
Right Handed,0
Right Handed,0.17
Right Handed,0.287
Right Handed,0.252
Right Handed,0.26
Right Handed,0.161
Right Handed,0.248
Left Handed,0.242
Left Handed,0.241
Right Handed,0.199
Left Handed,0.239
Right Handed,0.239
Right Handed,0
Left Handed,0.278
Left Handed,0.238
Left Handed,0
Left Handed,0.253
Right Handed,0.26
Right Handed,0.277
Right Handed,0.254
Right Handed,0.262
Left Handed,0.195
Right Handed,0
Right Handed,0.238
Switch Hitter,0
Right Handed,0.163
Left Handed,0.254
Right Handed,0.222
Right Handed,0.205
Left Handed,0.239
Right Handed,0.253
Right Handed,0
Left Handed,0.259
Left Handed,0.167
Right Handed,0.228
Left Handed,0.236
Switch Hitter,0.236
Left Handed,0.137
Left Handed,0.295
Left Handed,0.267
Left Handed,0.201
Left Handed,0
Right Handed,0.22
Left Handed,0.285
Right Handed,0
Right Handed,0
Switch Hitter,0.249
Right Handed,0.26
Right Handed,0.256
Right Handed,0.216
Right Handed,0.229
Right Handed,0.287
Right Handed,0.235
Right Handed,0.208
Right Handed,0.296
Left Handed,0.257
Switch Hitter,0.29
Right Handed,0.28
Left Handed,0.268
Right Handed,0.277
Right Handed,0
Switch Hitter,0.261
Right Handed,0.274
Right Handed,0.199
Right Handed,0.265
Right Handed,0.258
Right Handed,0.259
Switch Hitter,0.231
Right Handed,0.27
Left Handed,0.244
Right Handed,0.233
Right Handed,0.165
Right Handed,0.261
Right Handed,0.245
Left Handed,0.243
Right Handed,0.235
Right Handed,0.251
Right Handed,0.259
Right Handed,0.263
Right Handed,0
Right Handed,0.225
Switch Hitter,0.125
Right Handed,0.236
Right Handed,0.24
Right Handed,0.218
Right Handed,0.23
Right Handed,0.214
Right Handed,0.132
Right Handed,0.227
Right Handed,0
Left Handed,0.282
Left Handed,0.264
Left Handed,0.279
Right Handed,0.123
Switch Hitter,0
Right Handed,0
Right Handed,0.235
Right Handed,0.248
Right Handed,0.236
Switch Hitter,0.206
Right Handed,0
Right Handed,0.251
Left Handed,0.253
Switch Hitter,0.252
Left Handed,0.239
Left Handed,0.299
Right Handed,0.265
Switch Hitter,0.263
Left Handed,0.24
Left Handed,0
Switch Hitter,0
Left Handed,0.264
Left Handed,0.242
Right Handed,0.247
Right Handed,0.251
Right Handed,0.213
Right Handed,0.225
Right Handed,0.287
Right Handed,0
Right Handed,0
Right Handed,0.165
Switch Hitter,0.104
Left Handed,0
Right Handed,0
